Year,Paphies australis,Thenus orientalis,Serranidae,Monacanthidae,Scylla serrata,Anadara granosa,Testudinata,Rhodophyta,Scolopsis spp,Istiophoridae,Meretrix spp,Rexea solandri,Bregmaceros mcclellandi,Chelidonichthys kumu,Crassostrea spp,Penaeus latisulcatus,Zeus faber,Pterygotrigla polyommata,Siganus spp,Rachycentron canadum,Genypterus blacodes,Megalops cyprinoides,Scyllaridae,Macruronus novaezelandiae,Hoplostethus atlanticus,Isurus oxyrinchus,Carcharhinus longimanus,Ex Mollusca,Mustelus antarcticus,Seriolina nigrofasciata,Zenopsis nebulosus,Total
1950,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1951,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1952,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1953,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1954,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1955,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1956,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1957,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1958,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1959,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1960,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1961,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1962,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1963,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1964,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1965,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1966,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1967,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1968,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1969,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.003
1970,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1971,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1972,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0031
1973,100,100,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,200,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,400.0028
1974,203,100,36,27,102,1,28,5,500,0.0001,29,7,0.0001,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1039.0019
1975,193,31,26,27,1116,1443,624,223,361,331,67,6,0.0001,1,1,0.0001,0.0001,0.0001,0.0001,0.0001,1,0.0001,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4452.0015
1976,195,46,51,50,873,25440,304,864,0.0001,339,1073,8,0.0001,1,19,0.0001,0.0001,0.0001,0.0001,0.0001,2,0.0001,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,29267.0016
1977,80,175,1895,37,1014,28965,180,494,1031,329,2605,3,492,0.0001,401,164,0.0001,0.0001,0.0001,0.0001,1,0.0001,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,37867.0014
1978,302,181,413,134,4162,32592,358,614,32,546,4231,1,6,0.0001,227,85,21,1,0.0001,0.0001,0.0001,0.0001,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,43907.0013
1979,285,172,45,32,2187,30121,121,738,186,778,2019,9,1,53,563,94,26,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,37436.0013
1980,1108,78,63,39,2702,29772,59,1110,196,751,1792,898,7,59,841,0.0001,19,10,0.0001,0.0001,0.0001,0.0001,26,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,39530.0013
1981,287,150,67,45,2483,34072,157,730,181,332,1587,851,10,41,785,81,21,18,0.0001,0.0001,0.0001,0.0001,19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,41917.0012
1982,354,101,51,63,2548,25547,392,807,673,154,2716,532,57,27,1981,60,26,29,5,240,1,0.0001,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,36372.0009
1983,679,49,72,61,1813,36823,292,2595,261,216,1995,453,163,18,1829,383,19,7,112,109,0.0001,0.0001,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,47954.001
1984,409,109,105,98,2687,40578,257,1559,749,292,2156,469,276,41,1004,277,18,17,32,104,1,2,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,51247.0008
1985,431,114,116,103,3329,26733,198,58001,422,749,1247,494,538,43,1727,133,19,15,116,86,1,11,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,94633.0008
1986,607,131,156,145,2762,20841,47,69215,586,587,1172,696,289,61,645,239,27,21,510,192,1,22,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,98959.0008
1987,775,89,199,185,3252,23959,28,76694,746,482,2040,889,235,77,891,239,34,27,143,162,1,4,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,111158.0008
1988,813,30,209,194,3464,21609,381,82130,282,475,2040,933,3719,81,550,167,36,28,212,114,1,6,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,117481.0008
1989,163,90,175,162,3687,24335,207,81591,51,456,1669,780,142,68,1176,203,172,23,107,112,1,4,0.0001,2235,1966,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,119575.0007
1990,139,138,223,206,3126,24878,60,99720,37,339,1232,992,116,86,402,182,38,29,193,117,2,0.0001,0.0001,1372,1712,87,105,0.0001,0.0001,0.0001,0.0001,135531.0006
1991,293,81,220,200,3653,2513,99,87084,16,243,18522,990,536,80,18,358,40,30,203,119,2,2,0.0001,3347,959,112,137,0.0001,0.0001,0.0001,0.0001,119857.0005
1992,441,134,83,294,4674,30279,82,94258,21,365,3441,3000,222,0.0001,9,357,3,22,173,164,0.0001,1,0.0001,3526,627,163,199,93,0.0001,0.0001,11,142642.0005
1993,304,199,95,160,4041,21648,52,109986,4,79,1392,3000,113,1,44,739,2,43,134,131,0.0001,7,0.0001,3039,432,245,299,122,0.0001,0.0001,81,146392.0004
1994,380,225,2923,68,6671,25209,337,96437,0.0001,46,2126,3000,152,1,15,385,1,26,104,109,0.0001,8,18,3048,668,395,482,236,4626,1373,0.0001,149069.0003
1995,351,335,4155,62,5859,16712,291,97483,2,117,3074,3000,161,1,0.0001,1475,0.0001,0.0001,86,62,0.0001,7,13,3239,227,415,507,746,3911,2882,0.0001,145173.0005
1996,454,299,4159,158,5124,21227,353,130198,1,62,3693,2000,36,0.0001,0.0001,1674,3,0.0001,81,76,1397,6,21,2680,357,375,457,723,3878,3666,4,183162.0003
1997,830,177,3296,122,6175,32692,55,96831,1,112,4191,0.0001,13,1,0.0001,1724,0.0001,60,88,111,1923,4,0.0001,2851,350,598,730,431,4169,3564,9,161108.0004
1998,1041,533,4294,115,6540,24012,42,23641,2,414,7362,0.0001,1138,1,3,1501,1,25,237,87,1830,13,0.0001,4752,4857,520,634,603,2858,2954,37,90047.0002
1999,976,37,2645,3,7075,25349,43,2633,96,736,4154,4,1352,0.0001,0.0001,1518,21,55,27,111,1881,29,0.0001,6209,7553,773,944,653,2462,2700,0.0001,70039.0004
2000,1085,23,2666,442,8352,26885,40,3922,86,503,3331,447,159,117,350,407,561,66,109,136,1148,31,0.0001,8964,4974,649,792,698,1796,2227,70,71036.0001
2001,1251,58,2600,432,6400,10201,45,4991,88,1189,2383,482,92,163,298,351,238,78,87,150,1153,12,0.0001,7313,5197,378,462,498,2485,1970,111,51156.0001
2002,1085,282,4155,534,7011,15353,69,3052,121,86,2585,224,181,143,82,694,32,88,49,152,1217,11,0.0001,9014,3961,268,296,324,2414,2852,279,56614.0001
2003,1187,629,3199,456,4686,11527,60,4549,7,330,1854,294,138,76,127,1711,33,117,12,166,1229,6,0.0001,8760,4455,591,462,683,2817,2171,325,52657.0001
2004,1073,588,3882,905,5675,21036,137,3352,95,254,3776,503,769,162,64,1353,44,137,231,164,1265,15,0.0001,8773,2558,440,245,588,2945,2936,277,64242.0001
2005,1103,503,3605,960,4273,22119,125,2990,7,580,3667,430,505,145,178,1865,48,207,1106,134,1384,24,27,6562,3250,256,102,846,2951,1795,188,61935
2006,1025,620,3381,731,6657,23521,134,924,4,520,3838,469,814,150,370,1817,41,245,1481,218,980,34,22,4313,2373,176,81,557,2704,2425,171,60796
2007,994,414,3145,475,6162,30510,139,686,6,649,3892,500,1496,188,338,1769,29,199,2528,246,840,36,15,2237,1120,225,59,1277,2612,1653,104,64543
2008,607,97,2084,342,4705,27659,4,482,178,548,7762,441,2491,203,1,1412,31,140,2217,147,947,21,20,3458,288,225,55,1953,3216,1394,202,63330
2009,469,150,2401,617,5385,5444,120,2234,235,309,1692,277,2485,168,23,1100,137,154,2895,305,1046,29,18,3979,661,243,69,692,2612,1483,447,37879
2010,300,267,3086,814,5342,7295,96,1810,816,602,2170,230,3111,166,22,792,92,163,2687,236,871,30,33,3471,653,412,280,1113,2365,541,535,40401
2011,300,96,2227,621,13245,18064,1,1998,702,625,717,247,4596,160,66,787,81,134,3190,441,1105,19,19,4030,280,241,161,1436,2325,548,625,59087
2012,374,124,1796,667,13350,18076,184,3332,825,1095,847,208,2680,171,86,522,92,172,3810,197,1217,32,12,4080,264,159,156,1967,2150,759,549,59953
2013,443,1066,1711,236,13527,21859,5,4616,521,1625,665,144,5132,160,34,0.0001,81,237,4470,306,1002,19,13,4019,217,161,41,2350,2299,213,353,67525
2014,444,381,1308,159,13443,21201,12,34133,846,712,459,142,300,153,39,17,74,266,4816,320,809,27,8,4002,210,448,80,2774,2229,101,198,90111
2015,430,51,1925,157,20191,30701,1,24822,1638,293,144,116,190,154,14,56,77,266,5565,131,969,33,6,1379,280,394,89,1660,2324,44,264,94364
2016,492,46,2224,212,20155,17403,2,21212,1491,255,351,118,80,191,11,55,81,182,5736,115,821,47,3,1727,415,259,0.0001,1865,2650,48,253,78500.0001
2017,539,44,3839,377,25250,11690,2,46864,1641,176,0.0001,114,241,209,11,159,89,219,6588,114,961,48,10,1425,417,137,0.0001,3507,2677,107,314,107769.0002
2018,646,79,3060,148,21519,18750,2,22854,1665,68,40,101,62,164,12,38,88,266,7517,148,1018,78,26,1537,514,51,2,329,2504,92,153,83531
2019,647,80,2655,160,22323,19240,1,23000,1650,65,40,139,68,166,10,74,72,261,7782,212,980,144,5,1916,931,64,2,275,2703,118,111,85894
